date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:22:43	24/24	---M--	200	added ('OK')	text/plain	date:Fri,%2027%20Dec%202019%2002:22:49%20GMT	http://www.csmedlab.com/robots.txt		(from )
10:22:44	216274/216274	---M-Z	200	added ('OK')	text/html	etag:8AB114BEEF024F091B9A86B2D4C20BCE	http://www.csmedlab.com/	E:/owen/software/wamp/Apache24/htdocs/backup/csmedlab/csmed/www.csmedlab.com/index.html	(from )
10:22:44	9589/9589	---M-Z	200	added ('OK')	text/css	date:Thu,%2011%20Jan%202018%2013:45:37%20GMT	http://img.bj.wezhan.cn/Plugins/Designer/Content/css/base.pc.css	E:/owen/software/wamp/Apache24/htdocs/backup/csmedlab/csmed/img.bj.wezhan.cn/Plugins/Designer/Content/css/base.pc.css	(from http://www.csmedlab.com/)
10:22:44	14861/14861	---MCZ	200	added ('OK')	text/css	date:Thu,%2011%20Jan%202018%2013:47:09%20GMT	http://img.bj.wezhan.cn/Plugins/Designer/Content/mw-iconfont/iconfont.css	E:/owen/software/wamp/Apache24/htdocs/backup/csmedlab/csmed/img.bj.wezhan.cn/Plugins/Designer/Content/mw-iconfont/iconfont.css	(from http://www.csmedlab.com/)
10:22:44	9196/9196	---MCZ	200	added ('OK')	text/css	date:Thu,%2011%20Jan%202018%2013:46:54%20GMT	http://img.bj.wezhan.cn/Plugins/Designer/Content/css/pagerStyle/pager.css	E:/owen/software/wamp/Apache24/htdocs/backup/csmedlab/csmed/img.bj.wezhan.cn/Plugins/Designer/Content/css/pagerStyle/pager.css	(from http://www.csmedlab.com/)
10:22:45	21984/21984	---MCZ	200	added ('OK')	text/css	date:Thu,%2011%20Jan%202018%2013:45:11%20GMT	http://img.bj.wezhan.cn/Plugins/Designer/Content/css/base/css/font-awesome.min.css	E:/owen/software/wamp/Apache24/htdocs/backup/csmedlab/csmed/img.bj.wezhan.cn/Plugins/Designer/Content/css/base/css/font-awesome.min.css	(from http://www.csmedlab.com/)
10:22:45	36330/36330	---M--	200	added ('OK')	text/css	etag:%224716E86EA650418BA7C893B0537BD5BD%22	http://img.bj.wezhan.cn/content/sitefiles2016/2016084/css/pc/1265_zh-CN.css	E:/owen/software/wamp/Apache24/htdocs/backup/csmedlab/csmed/img.bj.wezhan.cn/content/sitefiles2016/2016084/css/pc/1265_zh-CN.css	(from http://www.csmedlab.com/)
10:22:47	17278/17278	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2011%20Jan%202018%2013:47:16%20GMT	http://img.bj.wezhan.cn/Plugins/Designer/Script/jquery-migrate-1.2.1.min.js	E:/owen/software/wamp/Apache24/htdocs/backup/csmedlab/csmed/img.bj.wezhan.cn/Plugins/Designer/Script/jquery-migrate-1.2.1.min.js	(from http://www.csmedlab.com/)
10:22:47	92632/92632	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2011%20Jan%202018%2013:47:16%20GMT	http://img.bj.wezhan.cn/Plugins/Designer/Script/jquery-1.9.1.min.js	E:/owen/software/wamp/Apache24/htdocs/backup/csmedlab/csmed/img.bj.wezhan.cn/Plugins/Designer/Script/jquery-1.9.1.min.js	(from http://www.csmedlab.com/)
10:22:48	3381/3381	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2011%20Jan%202018%2013:47:20%20GMT	http://img.bj.wezhan.cn/Plugins/Designer/Script/jquery.lazyload.min.js	E:/owen/software/wamp/Apache24/htdocs/backup/csmedlab/csmed/img.bj.wezhan.cn/Plugins/Designer/Script/jquery.lazyload.min.js	(from http://www.csmedlab.com/)
10:22:48	3643/3643	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2011%20Jan%202018%2013:47:24%20GMT	http://img.bj.wezhan.cn/Plugins/Designer/Script/kino.razor.min.js	E:/owen/software/wamp/Apache24/htdocs/backup/csmedlab/csmed/img.bj.wezhan.cn/Plugins/Designer/Script/kino.razor.min.js	(from http://www.csmedlab.com/)
10:22:49	14643/14643	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2011%20Jan%202018%2013:47:26%20GMT	http://img.bj.wezhan.cn/Plugins/Designer/Script/underscore-min.js	E:/owen/software/wamp/Apache24/htdocs/backup/csmedlab/csmed/img.bj.wezhan.cn/Plugins/Designer/Script/underscore-min.js	(from http://www.csmedlab.com/)
